id,customer_id,country,state,city,street,label,postal_code,is_default_shipping,is_default_billing,created_at
"1","1","Aruba","Georgia","East Stephanieton","95249 St Mary's Road","Oficina","85556-2651","true","false","2018-12-19 17:04:20"
"2","1","Russian Federation","Nevada","North Milliemouth","172 Lulu Plains","Casa","42764","true","false","2018-03-08 17:44:27"
"3","1","Tunisia","Virginia","Broken Arrow","63741 Felicia Mills","Otro","00839","false","true","2025-05-10 16:51:25"
"4","4","Afghanistan","Nebraska","South Derrick","263 Craig Lakes","Otro","67564-0247","false","false","2018-12-23 12:13:55"
"5","6","Lao People's Democratic Republic","Oklahoma","Palm Springs","1207 Sallie Gateway","Casa","91791-5567","false","false","2017-03-15 04:06:23"
"6","10","Israel","Virginia","Port Leonora","202 Schaden Way","Apartamento","75894","false","false","2021-03-27 17:41:21"
"7","5","Rwanda","Iowa","Runtefort","213 Easton Light","Casa","11359-1499","false","false","2016-05-27 08:28:34"
"8","5","Malawi","Florida","Macon-Bibb County","48954 Conn Freeway","Casa","05144","true","true","2021-05-10 12:49:09"
"9","4","Georgia","Vermont","Grimeschester","5077 Elise Views","Apartamento","93325-3510","false","true","2019-11-15 01:55:01"
"10","9","Saint Lucia","Pennsylvania","North Demario","4898 Kutch Brooks","Apartamento","66064","false","false","2020-07-21 17:01:34"
"11","1","Cote d'Ivoire","Colorado","Ellsworthcester","99209 Trantow Curve","Oficina","77132-9966","false","true","2019-12-31 10:37:49"
"12","1","Greece","Wisconsin","Adolphusstad","3276 Kenny View","Oficina","66612-8608","false","false","2024-03-06 00:40:57"
"13","7","Dominica","Illinois","South Emil","5476 Christ Pine","Otro","35127-5024","true","true","2016-07-08 08:02:24"
"14","9","Iceland","Tennessee","Lake Jerrellview","90920 Cow Lane","Oficina","65121-0089","false","true","2025-05-05 20:00:23"
"15","10","China","Rhode Island","Vallieworth","85701 Bartell Plains","Otro","58582-3437","false","false","2022-09-25 10:04:51"
