id,email,password_hash,first_name,last_name,phone,is_active,created_at,updated_at
"1","Adaline_Hagenes24@hotmail.com","4LavHdZPehTRyaO","Willis","Cronin","(852) 804-7996","true","2022-09-22 04:18:16","2023-11-06 14:22:33"
"2","Charlie.Marks@hotmail.com","tG2KLSLsGbppBGl","Jessica","Hudson","(743) 303-5180 x430","true","2022-09-22 04:18:16","2023-05-23 10:49:05"
"3","Jace_Morar46@yahoo.com","OXFHF7RrylcDAJa","Malvina","Flatley","(420) 980-1160","false","2022-09-22 04:18:16","2023-01-21 23:11:21"
"4","Viva35@gmail.com","ONih8zdfTqQePC4","Julie","Grant","1-279-826-1797","true","2022-09-22 04:18:16","2023-05-04 10:47:10"
"5","Heaven23@yahoo.com","RbFnXHwFdUvPAlR","Mitchel","Bergnaum","498-338-8933 x871","false","2022-09-22 04:18:16","2023-11-24 08:33:43"
"6","Emil.Boyle@hotmail.com","0HlWaS5GBQWYhWc","Billy","Tillman","(267) 673-7421","true","2022-09-22 04:18:16","2025-02-17 00:59:16"
"7","General63@yahoo.com","rA0ae3URadeQElQ","Sydney","Ward","1-405-422-2352","true","2022-09-22 04:18:16","2023-05-04 19:26:04"
"8","Salvatore_Shanahan@hotmail.com","3FlwHjVWWnmNpM7","Audra","Barrows","1-675-662-5987 x195","true","2022-09-22 04:18:16","2025-05-31 09:17:14"
"9","Rudolph_Bogisich87@yahoo.com","3Rc9hhG2SwLwl4r","Jesse","Wisoky","1-870-331-2037 x4348","false","2022-09-22 04:18:16","2024-12-07 09:34:46"
"10","Jillian.Deckow@yahoo.com","XupLHW494A2vonH","Hermann","Hettinger","462.833.8304 x60895","false","2022-09-22 04:18:16","2022-09-30 18:44:04"
